keyword_text,keyword_match_type,ad_group_criterion_status,campaign_name,ad_group_name,ad_group_criterion_quality_info_quality_score,impressions,clicks,ctr,average_cpc,cost,conversions,cost_per_conversion
Colonoscopia CDMX,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Colonoscopia CDMX,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
Endoscopia CDMX,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Endoscopy Colonoscopy,,0,0,,,0.0,0,
endoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
colonoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
endoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
colonoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
panendoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Keyword: Colo and Endo,,0,0,,,0.0,0,
Bariatra CDMX,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,PHRASE,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra CDMX,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,EXACT,ENABLED,JAN 1-14 | Leads | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bypass Gastrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Bypass Gastrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Bariatría Cirugia,,0,0,,,0.0,0,
Bariatra CDMX,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra CDMX,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirugía Gástrica,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Cirugía Gástrica,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,PHRASE,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,EXACT,ENABLED,APR 14-30 | Obesity | MX | Merida,Keyword: Manga,,0,0,,,0.0,0,
Colonoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopy Merida,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,Endo & Colo - Merida,Colonoscopy Merida,,0,0,,,0.0,0,
costo de colonoscopia,EXACT,ENABLED,Endo & Colo - Merida,Colonoscopy Merida,,0,0,,,0.0,0,
colonoscopia merida,EXACT,ENABLED,Endo & Colo - Merida,Colonoscopy Merida,,0,0,,,0.0,0,
endoscopía,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopy Merida,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,Endo & Colo - Merida,Endoscopy Merida,,0,0,,,0.0,0,
costo de endoscopia,EXACT,ENABLED,Endo & Colo - Merida,Endoscopy Merida,,0,0,,,0.0,0,
endoscopia merida,EXACT,ENABLED,Endo & Colo - Merida,Endoscopy Merida,,0,0,,,0.0,0,
colonoscopia virtual,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
Colonoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
estudio de colonoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia virtual,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
examen de colonoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia virtual precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia laboratorios,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia particular,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia particular,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
Colonoscopia,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia laboratorios,EXACT,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio chopo,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia chopo,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio hospital angeles,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia salud digna,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
endoscopias economicas en cdmx,PHRASE,ENABLED,JAN 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
Cirugía Gástrica,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Bypass Gástrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Gástrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Intragástrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Manga Gástrica,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Cirugía Gástrica,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Balón Ingerible,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Globo Gástrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Keyword: Manga,,0,0,,,0.0,0,
Bariatra CDMX,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra CDMX,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bariatra Cerca,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Cirujano Bariatrico Cerca,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Cirujano Bariatra - Location,,0,0,,,0.0,0,
Bypass Gastrico,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Bypass Gastrico,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,PHRASE,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Balon Gastrico CDMX,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Manga Gastrica CDMX,EXACT,ENABLED,APR 14-31 | Obesity | MX | CDMX,Bariatría Cirugia,,0,0,,,0.0,0,
Endoscopia,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopía,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia precio,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia digestiva,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
Endoscopia,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
panendoscopia,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
panendoscopia,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia baja,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia gastrointestinal precio,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia con sedacion,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopia baja,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
endoscopias economicas en cdmx,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Endoscopy Only,,0,0,,,0.0,0,
colonoscopia virtual,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
Colonoscopia,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
estudio de colonoscopia,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
examen de colonoscopia,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia virtual,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
examen de colonoscopia,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia virtual precio,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia laboratorios,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia particular,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia particular,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
Colonoscopia,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia laboratorios,EXACT,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio chopo,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia chopo,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio hospital angeles,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia salud digna,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
colonoscopia precio,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
endoscopias economicas en cdmx,PHRASE,ENABLED,APR 14-31 | Endoscopy | MX | CDMX,Colonoscopy Only,,0,0,,,0.0,0,
CPRE,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
endoscopia,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
costo de endoscopia,EXACT,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
cpre,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografia,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografia,EXACT,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
estudio cepre,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografia,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografia endoscopica,EXACT,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografía endoscópica,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
obstruccion via biliar,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
ERCP procedure cost,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
cpre merida,BROAD,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE urgente,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE hospital amerimed,EXACT,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
cpre hospital amerimed,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
colangiopancreatografía retrograda,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE merida,EXACT,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
problemas biliares merida,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE hospital amerimed,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
cálculos biliares endoscopia,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
obstruccion via biliar,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
extracción de cálculos biliares,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE mexico,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE yucatan,PHRASE,PAUSED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
extraccion de calculos merida,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE en Merida,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
precio CPRE,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
ERCP merida,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
CPRE en merida,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
obstruccion biliar endoscopia,PHRASE,ENABLED,Endo & Colo - Merida,CPRE Merida July 2025,,0,0,,,0.0,0,
endoscopia digestiva alta,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia precio,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia con sedacion,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia merida,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia precio merida,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia precio merida,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia en merida,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
dolor estomago endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
acidez estomacal endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia costo en merida,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia costo merida,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia precio en merida,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia costo merida,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
reflujo endoscopia,PHRASE,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia digestiva alta merida,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
endoscopia privada merida,EXACT,ENABLED,Endoscopia,Endoscopia - Calls Only,,0,0,,,0.0,0,
bypass gástrico,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
balón gástrico,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
manga gastrica,PHRASE,ENABLED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
manga gástrica,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía para bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía bariátrica,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
operación para bajar de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía para perder peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía bariátrica mérida,EXACT,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
manga gastrica merida,EXACT,ENABLED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía pérdida de peso,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
costo cirugía bariátrica,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
bypass gástrico mérida,EXACT,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía adelgazar,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
cirugía bariátrica mérida,PHRASE,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
manga gástrica mérida,EXACT,PAUSED,JULY - Bariatric Test - MX - Merida,Manga Gastrica Merida July 2025,,0,0,,,0.0,0,
hernia inguinal,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
cirugia hernia laparoscopica,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
cirugía hernia inguinal,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
hernia inguinal mérida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
hernia inguinal merida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
cirujano hernia merida,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Inguinal Merida July 2025,,0,0,,,0.0,0,
hernia ventral,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Ventral Merida July 2025,,0,0,,,0.0,0,
hernia ventral mérida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Ventral Merida July 2025,,0,0,,,0.0,0,
hernia ventral merida,EXACT,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Ventral Merida July 2025,,0,0,,,0.0,0,
reparación hernia ventral,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Hernia Ventral Merida July 2025,,0,0,,,0.0,0,
vesícula biliar,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
cirugia laparoscopica vesicula,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
operación vesícula,PHRASE,ENABLED,General Surgery Test | JULY | MX | Merida,Vesicula Biliar Merida July 2025,,0,0,,,0.0,0,
